timestamp,R,G,B,segment
2025-02-05-17-07-08-428,164,164,0,Triangle in red & green
2025-02-05-17-07-08-445,155,155,0,Triangle in red & green
2025-02-05-17-07-08-463,146,146,0,Triangle in red & green
2025-02-05-17-07-08-480,137,137,0,Triangle in red & green
2025-02-05-17-07-08-498,128,128,0,Triangle in red & green
2025-02-05-17-07-08-515,120,120,0,Triangle in red & green
2025-02-05-17-07-08-532,111,111,0,Triangle in red & green
2025-02-05-17-07-08-549,102,102,0,Triangle in red & green
2025-02-05-17-07-08-566,94,94,0,Triangle in red & green
2025-02-05-17-07-08-583,85,85,0,Triangle in red & green
2025-02-05-17-07-08-602,76,76,0,Triangle in red & green
2025-02-05-17-07-08-619,67,67,0,Triangle in red & green
2025-02-05-17-07-08-635,58,58,0,Triangle in red & green
2025-02-05-17-07-08-653,49,49,0,Triangle in red & green
2025-02-05-17-07-08-671,40,40,0,Triangle in red & green
2025-02-05-17-07-08-689,31,31,0,Triangle in red & green
2025-02-05-17-07-08-705,23,23,0,Triangle in red & green
2025-02-05-17-07-08-723,14,14,0,Triangle in red & green
2025-02-05-17-07-08-740,5,5,0,Triangle in red & green
2025-02-05-17-07-08-759,0,0,0,Pause
2025-02-05-17-07-08-776,0,0,0,Pause
2025-02-05-17-07-08-794,0,0,0,Pause
2025-02-05-17-07-08-811,0,0,0,Pause
2025-02-05-17-07-08-828,0,0,0,Pause
2025-02-05-17-07-08-845,0,0,0,Pause
2025-02-05-17-07-08-863,0,0,0,Pause
2025-02-05-17-07-08-880,0,0,0,Pause
2025-02-05-17-07-08-898,0,0,0,Pause
2025-02-05-17-07-08-916,0,0,0,Pause
2025-02-05-17-07-08-932,0,0,0,Pause
2025-02-05-17-07-08-950,0,0,0,Pause
2025-02-05-17-07-08-968,0,0,0,Triangle in green & blue
2025-02-05-17-07-08-986,0,9,9,Triangle in green & blue
2025-02-05-17-07-09-004,0,18,18,Triangle in green & blue
2025-02-05-17-07-09-022,0,27,27,Triangle in green & blue
2025-02-05-17-07-09-038,0,36,36,Triangle in green & blue
2025-02-05-17-07-09-056,0,45,45,Triangle in green & blue
2025-02-05-17-07-09-074,0,54,54,Triangle in green & blue
2025-02-05-17-07-09-091,0,63,63,Triangle in green & blue
2025-02-05-17-07-09-108,0,72,72,Triangle in green & blue
2025-02-05-17-07-09-125,0,80,80,Triangle in green & blue
2025-02-05-17-07-09-143,0,89,89,Triangle in green & blue
2025-02-05-17-07-09-161,0,98,98,Triangle in green & blue
2025-02-05-17-07-09-177,0,107,107,Triangle in green & blue
2025-02-05-17-07-09-194,0,116,116,Triangle in green & blue
2025-02-05-17-07-09-213,0,125,125,Triangle in green & blue
2025-02-05-17-07-09-230,0,134,134,Triangle in green & blue
2025-02-05-17-07-09-247,0,143,143,Triangle in green & blue
2025-02-05-17-07-09-264,0,151,151,Triangle in green & blue
2025-02-05-17-07-09-282,0,160,160,Triangle in green & blue
2025-02-05-17-07-09-300,0,169,169,Triangle in green & blue
2025-02-05-17-07-09-317,0,178,178,Triangle in green & blue
2025-02-05-17-07-09-335,0,187,187,Triangle in green & blue
2025-02-05-17-07-09-351,0,196,196,Triangle in green & blue
2025-02-05-17-07-09-369,0,205,205,Triangle in green & blue
2025-02-05-17-07-09-386,0,213,213,Triangle in green & blue
2025-02-05-17-07-09-404,0,222,222,Triangle in green & blue
2025-02-05-17-07-09-421,0,231,231,Triangle in green & blue
2025-02-05-17-07-09-438,0,240,240,Triangle in green & blue
2025-02-05-17-07-09-457,0,249,249,Triangle in green & blue
2025-02-05-17-07-09-474,0,252,252,Triangle in green & blue
2025-02-05-17-07-09-493,0,243,243,Triangle in green & blue
2025-02-05-17-07-09-509,0,234,234,Triangle in green & blue
2025-02-05-17-07-09-526,0,225,225,Triangle in green & blue
2025-02-05-17-07-09-544,0,216,216,Triangle in green & blue
2025-02-05-17-07-09-562,0,207,207,Triangle in green & blue
2025-02-05-17-07-09-579,0,198,198,Triangle in green & blue
2025-02-05-17-07-09-597,0,189,189,Triangle in green & blue
2025-02-05-17-07-09-615,0,180,180,Triangle in green & blue
2025-02-05-17-07-09-631,0,171,171,Triangle in green & blue
2025-02-05-17-07-09-648,0,163,163,Triangle in green & blue
2025-02-05-17-07-09-665,0,154,154,Triangle in green & blue
2025-02-05-17-07-09-682,0,146,146,Triangle in green & blue
2025-02-05-17-07-09-700,0,137,137,Triangle in green & blue
2025-02-05-17-07-09-717,0,128,128,Triangle in green & blue
2025-02-05-17-07-09-734,0,119,119,Triangle in green & blue
2025-02-05-17-07-09-752,0,110,110,Triangle in green & blue
2025-02-05-17-07-09-770,0,101,101,Triangle in green & blue
2025-02-05-17-07-09-788,0,92,92,Triangle in green & blue
2025-02-05-17-07-09-806,0,83,83,Triangle in green & blue
2025-02-05-17-07-09-822,0,74,74,Triangle in green & blue
2025-02-05-17-07-09-840,0,65,65,Triangle in green & blue
2025-02-05-17-07-09-858,0,56,56,Triangle in green & blue
2025-02-05-17-07-09-876,0,47,47,Triangle in green & blue
2025-02-05-17-07-09-894,0,38,38,Triangle in green & blue
2025-02-05-17-07-09-910,0,29,29,Triangle in green & blue
2025-02-05-17-07-09-928,0,20,20,Triangle in green & blue
2025-02-05-17-07-09-945,0,11,11,Triangle in green & blue
2025-02-05-17-07-09-962,0,3,3,Triangle in green & blue
2025-02-05-17-07-09-980,0,6,6,Triangle in green & blue
2025-02-05-17-07-09-998,0,15,15,Triangle in green & blue
2025-02-05-17-07-10-015,0,24,24,Triangle in green & blue
2025-02-05-17-07-10-032,0,33,33,Triangle in green & blue
2025-02-05-17-07-10-050,0,42,42,Triangle in green & blue
2025-02-05-17-07-10-068,0,51,51,Triangle in green & blue
2025-02-05-17-07-10-085,0,60,60,Triangle in green & blue
2025-02-05-17-07-10-103,0,69,69,Triangle in green & blue
2025-02-05-17-07-10-121,0,78,78,Triangle in green & blue
2025-02-05-17-07-10-138,0,87,87,Triangle in green & blue
2025-02-05-17-07-10-155,0,96,96,Triangle in green & blue
2025-02-05-17-07-10-173,0,105,105,Triangle in green & blue
2025-02-05-17-07-10-192,0,114,114,Triangle in green & blue
2025-02-05-17-07-10-208,0,122,122,Triangle in green & blue
2025-02-05-17-07-10-226,0,131,131,Triangle in green & blue
2025-02-05-17-07-10-244,0,140,140,Triangle in green & blue
2025-02-05-17-07-10-260,0,149,149,Triangle in green & blue
2025-02-05-17-07-10-279,0,158,158,Triangle in green & blue
2025-02-05-17-07-10-296,0,167,167,Triangle in green & blue
2025-02-05-17-07-10-313,0,176,176,Triangle in green & blue
2025-02-05-17-07-10-331,0,185,185,Triangle in green & blue
2025-02-05-17-07-10-347,0,194,194,Triangle in green & blue
2025-02-05-17-07-10-364,0,202,202,Triangle in green & blue
2025-02-05-17-07-10-381,0,211,211,Triangle in green & blue
2025-02-05-17-07-10-400,0,220,220,Triangle in green & blue
2025-02-05-17-07-10-418,0,229,229,Triangle in green & blue
2025-02-05-17-07-10-435,0,238,238,Triangle in green & blue
2025-02-05-17-07-10-453,0,247,247,Triangle in green & blue
2025-02-05-17-07-10-470,0,254,254,Triangle in green & blue
