Frame Index,Value,Change Type
1783,7.0,
1784,7.0,
1785,7.0,
1786,7.0,
1787,7.0,
1788,7.0,
1789,7.0,
1790,9.0,
1791,9.0,
1792,118.0,up
1793,180.0,
1794,180.0,
1795,122.0,down
1796,9.0,
1797,7.0,
1798,9.0,
1799,7.0,
1800,125.0,up
1801,181.0,
1802,181.0,
1803,111.0,down
1804,9.0,
1805,9.0,
1806,188.0,up
1807,181.0,
1808,139.0,
1809,7.0,down
1810,7.0,
1811,176.0,up
1812,185.0,
1813,168.0,
1814,7.0,down
1815,9.0,
1816,9.0,
1817,7.0,
1818,9.0,
1819,187.0,up
1820,187.0,
1821,171.0,
1822,5.0,down
1823,9.0,
1824,157.0,up
1825,188.0,
